policy_id,scenario_id,customer_id,coverage_type,insured_amount,annual_premium,payment_period,effective_at,next_anniversary_date,status
POL-C031-CI,demo-acts-1-3,C031,critical_illness,650000,7800,20_years,2025-06-14T09:00:00+08:00,2026-09-18,active
POL-C032-CI,demo-acts-1-3,C032,critical_illness,500000,3600,20_years,2025-06-11T09:00:00+08:00,2026-09-19,active
POL-C033-CI,demo-acts-1-3,C033,critical_illness,550000,4200,20_years,2025-06-08T09:00:00+08:00,2026-09-20,active
POL-C034-CI,demo-acts-1-3,C034,critical_illness,600000,4800,20_years,2025-06-05T09:00:00+08:00,2026-09-21,active
POL-C035-CI,demo-acts-1-3,C035,critical_illness,650000,5400,20_years,2025-06-02T09:00:00+08:00,2026-09-22,active
POL-C036-CI,demo-acts-1-3,C036,critical_illness,500000,6000,20_years,2025-05-30T09:00:00+08:00,2026-09-23,active
POL-C037-CI,demo-acts-1-3,C037,critical_illness,550000,6600,20_years,2025-05-27T09:00:00+08:00,2026-09-24,active
POL-C038-CI,demo-acts-1-3,C038,critical_illness,600000,7200,20_years,2025-05-24T09:00:00+08:00,2026-09-25,active
POL-C039-CI,demo-acts-1-3,C039,critical_illness,650000,7800,20_years,2025-05-21T09:00:00+08:00,2026-09-26,active
POL-C040-CI,demo-acts-1-3,C040,critical_illness,500000,3600,20_years,2025-05-18T09:00:00+08:00,2026-09-27,active
POL-C041-CI,demo-acts-1-3,C041,critical_illness,550000,4200,20_years,2025-05-15T09:00:00+08:00,2026-09-28,active
POL-C042-CI,demo-acts-1-3,C042,critical_illness,600000,4800,20_years,2025-05-12T09:00:00+08:00,2026-09-29,active
POL-C043-CI,demo-acts-1-3,C043,critical_illness,650000,5400,20_years,2025-05-09T09:00:00+08:00,2026-09-30,active
POL-C044-CI,demo-acts-1-3,C044,critical_illness,500000,6000,20_years,2025-05-06T09:00:00+08:00,2026-10-01,active
POL-C045-CI,demo-acts-1-3,C045,critical_illness,550000,6600,20_years,2025-05-03T09:00:00+08:00,2026-10-02,active
POL-C046-CI,demo-acts-1-3,C046,critical_illness,600000,7200,20_years,2025-04-30T09:00:00+08:00,2026-10-03,active
POL-C047-CI,demo-acts-1-3,C047,critical_illness,650000,7800,20_years,2025-04-27T09:00:00+08:00,2026-10-04,active
POL-C048-CI,demo-acts-1-3,C048,critical_illness,500000,3600,20_years,2025-04-24T09:00:00+08:00,2026-10-05,active
POL-C049-CI,demo-acts-1-3,C049,critical_illness,550000,4200,20_years,2025-04-21T09:00:00+08:00,2026-10-06,active
POL-C050-CI,demo-acts-1-3,C050,critical_illness,600000,4800,20_years,2025-04-18T09:00:00+08:00,2026-10-07,active
POL-C051-CI,demo-acts-1-3,C051,critical_illness,650000,5400,20_years,2025-04-15T09:00:00+08:00,2026-10-08,active
POL-C052-CI,demo-acts-1-3,C052,critical_illness,500000,6000,20_years,2025-04-12T09:00:00+08:00,2026-10-09,active
POL-C053-CI,demo-acts-1-3,C053,critical_illness,550000,6600,20_years,2025-04-09T09:00:00+08:00,2026-10-10,active
POL-C054-CI,demo-acts-1-3,C054,critical_illness,600000,7200,20_years,2025-04-06T09:00:00+08:00,2026-10-11,active
POL-C055-CI,demo-acts-1-3,C055,critical_illness,650000,7800,20_years,2025-04-03T09:00:00+08:00,2026-10-12,active
POL-C056-CI,demo-acts-1-3,C056,critical_illness,500000,3600,20_years,2025-03-31T09:00:00+08:00,2026-10-13,active
POL-C057-CI,demo-acts-1-3,C057,critical_illness,550000,4200,20_years,2025-03-28T09:00:00+08:00,2026-10-14,active
POL-C058-CI,demo-acts-1-3,C058,critical_illness,600000,4800,20_years,2025-03-25T09:00:00+08:00,2026-09-16,active
POL-C059-CI,demo-acts-1-3,C059,critical_illness,650000,5400,20_years,2025-03-22T09:00:00+08:00,2026-09-17,active
POL-C060-CI,demo-acts-1-3,C060,critical_illness,500000,6000,20_years,2025-03-19T09:00:00+08:00,2026-09-18,active
POL-C061-CI,demo-acts-1-3,C061,critical_illness,550000,6600,20_years,2025-03-16T09:00:00+08:00,2026-09-19,active
POL-C062-CI,demo-acts-1-3,C062,critical_illness,600000,7200,20_years,2025-03-13T09:00:00+08:00,2026-09-20,active
POL-C063-CI,demo-acts-1-3,C063,critical_illness,650000,7800,20_years,2025-03-10T09:00:00+08:00,2026-09-21,active
POL-C064-CI,demo-acts-1-3,C064,critical_illness,500000,3600,20_years,2025-03-07T09:00:00+08:00,2026-09-22,active
POL-C065-CI,demo-acts-1-3,C065,critical_illness,550000,4200,20_years,2025-03-04T09:00:00+08:00,2026-09-23,active
POL-C066-CI,demo-acts-1-3,C066,critical_illness,600000,4800,20_years,2025-03-01T09:00:00+08:00,2026-09-24,active
POL-C067-CI,demo-acts-1-3,C067,critical_illness,650000,5400,20_years,2025-02-26T09:00:00+08:00,2026-09-25,active
POL-C068-CI,demo-acts-1-3,C068,critical_illness,500000,6000,20_years,2025-02-23T09:00:00+08:00,2026-09-26,active
POL-C069-CI,demo-acts-1-3,C069,critical_illness,550000,6600,20_years,2025-02-20T09:00:00+08:00,2026-09-27,active
POL-C070-CI,demo-acts-1-3,C070,critical_illness,600000,7200,20_years,2025-02-17T09:00:00+08:00,2026-09-28,active
POL-C071-CI,demo-acts-1-3,C071,critical_illness,650000,7800,20_years,2025-02-14T09:00:00+08:00,2026-09-29,active
POL-C072-CI,demo-acts-1-3,C072,critical_illness,500000,3600,20_years,2025-02-11T09:00:00+08:00,2026-09-30,active
POL-C073-CI,demo-acts-1-3,C073,critical_illness,550000,4200,20_years,2025-02-08T09:00:00+08:00,2026-10-01,active
POL-C074-CI,demo-acts-1-3,C074,critical_illness,600000,4800,20_years,2025-02-05T09:00:00+08:00,2026-10-02,active
POL-C075-CI,demo-acts-1-3,C075,critical_illness,650000,5400,20_years,2025-02-02T09:00:00+08:00,2026-10-03,active
POL-C076-CI,demo-acts-1-3,C076,critical_illness,500000,6000,20_years,2025-01-30T09:00:00+08:00,2026-10-04,active
POL-C077-CI,demo-acts-1-3,C077,critical_illness,550000,6600,20_years,2025-01-27T09:00:00+08:00,2026-10-05,active
POL-C078-CI,demo-acts-1-3,C078,critical_illness,600000,7200,20_years,2025-01-24T09:00:00+08:00,2026-10-06,active
POL-C079-CI,demo-acts-1-3,C079,critical_illness,650000,7800,20_years,2025-01-21T09:00:00+08:00,2026-10-07,active
POL-C080-CI,demo-acts-1-3,C080,critical_illness,500000,3600,20_years,2025-01-18T09:00:00+08:00,2027-02-02,active
POL-C081-CI,demo-acts-1-3,C081,critical_illness,550000,4200,20_years,2025-01-15T09:00:00+08:00,2027-02-03,active
POL-C082-CI,demo-acts-1-3,C082,critical_illness,600000,4800,20_years,2025-01-12T09:00:00+08:00,2027-02-04,active
POL-C083-CI,demo-acts-1-3,C083,critical_illness,650000,5400,20_years,2025-01-09T09:00:00+08:00,2027-02-05,active
POL-C084-CI,demo-acts-1-3,C084,critical_illness,500000,6000,20_years,2025-01-06T09:00:00+08:00,2027-02-06,active
POL-C085-CI,demo-acts-1-3,C085,critical_illness,550000,6600,20_years,2025-01-03T09:00:00+08:00,2027-02-07,active
POL-C086-CI,demo-acts-1-3,C086,critical_illness,600000,7200,20_years,2024-12-31T09:00:00+08:00,2027-02-08,active
POL-C087-CI,demo-acts-1-3,C087,critical_illness,500000,7800,20_years,2024-12-28T09:00:00+08:00,2027-02-09,active
POL-C088-CI,demo-acts-1-3,C088,critical_illness,600000,3600,20_years,2024-12-25T09:00:00+08:00,2027-02-10,active
POL-C089-CI,demo-acts-1-3,C089,critical_illness,700000,4200,20_years,2024-12-22T09:00:00+08:00,2027-02-11,active
POL-C090-CI,demo-acts-1-3,C090,critical_illness,500000,4800,20_years,2024-12-19T09:00:00+08:00,2027-02-12,active
POL-C091-CI,demo-acts-1-3,C091,critical_illness,600000,5400,20_years,2024-12-16T09:00:00+08:00,2027-02-13,active
POL-C092-CI,demo-acts-1-3,C092,critical_illness,700000,6000,20_years,2024-12-13T09:00:00+08:00,2027-02-14,active
POL-C093-CI,demo-acts-1-3,C093,critical_illness,500000,6600,20_years,2024-12-10T09:00:00+08:00,2027-02-15,active
POL-C094-CI,demo-acts-1-3,C094,critical_illness,600000,7200,20_years,2024-12-07T09:00:00+08:00,2027-02-16,active
POL-C095-CI,demo-acts-1-3,C095,critical_illness,700000,7800,20_years,2024-12-04T09:00:00+08:00,2027-02-17,active
POL-C096-CI,demo-acts-1-3,C096,critical_illness,500000,3600,20_years,2024-12-01T09:00:00+08:00,2027-02-18,active
POL-C097-CI,demo-acts-1-3,C097,critical_illness,600000,4200,20_years,2024-11-28T09:00:00+08:00,2027-02-19,active
POL-C098-CI,demo-acts-1-3,C098,critical_illness,700000,4800,20_years,2024-11-25T09:00:00+08:00,2027-02-20,active
POL-C099-CI,demo-acts-1-3,C099,critical_illness,500000,5400,20_years,2024-11-22T09:00:00+08:00,2027-02-21,active
POL-C100-CI,demo-acts-1-3,C100,critical_illness,600000,6000,20_years,2024-11-19T09:00:00+08:00,2027-02-22,active
POL-C101-CI,demo-acts-1-3,C101,critical_illness,700000,6600,20_years,2024-11-16T09:00:00+08:00,2027-02-23,active
POL-C102-CI,demo-acts-1-3,C102,critical_illness,500000,7200,20_years,2024-11-13T09:00:00+08:00,2027-02-24,active
POL-C103-CI,demo-acts-1-3,C103,critical_illness,600000,7800,20_years,2024-11-10T09:00:00+08:00,2027-02-25,active
POL-C104-CI,demo-acts-1-3,C104,critical_illness,700000,3600,20_years,2024-11-07T09:00:00+08:00,2027-02-26,active
POL-C105-CI,demo-acts-1-3,C105,critical_illness,500000,4200,20_years,2024-11-04T09:00:00+08:00,2027-02-27,active
POL-C106-CI,demo-acts-1-3,C106,critical_illness,600000,4800,20_years,2024-11-01T09:00:00+08:00,2027-02-28,active
POL-C107-CI,demo-acts-1-3,C107,critical_illness,700000,5400,20_years,2024-10-29T09:00:00+08:00,2027-03-01,active
POL-C108-CI,demo-acts-1-3,C108,critical_illness,500000,6000,20_years,2024-10-26T09:00:00+08:00,2027-03-02,active
POL-C109-CI,demo-acts-1-3,C109,critical_illness,600000,6600,20_years,2024-10-23T09:00:00+08:00,2027-03-03,active
POL-C110-CI,demo-acts-1-3,C110,critical_illness,700000,7200,20_years,2024-10-20T09:00:00+08:00,2027-03-04,active
POL-C111-CI,demo-acts-1-3,C111,critical_illness,500000,7800,20_years,2024-10-17T09:00:00+08:00,2027-03-05,active
POL-C112-CI,demo-acts-1-3,C112,critical_illness,600000,3600,20_years,2024-10-14T09:00:00+08:00,2027-03-06,active
POL-C113-CI,demo-acts-1-3,C113,critical_illness,700000,4200,20_years,2024-10-11T09:00:00+08:00,2027-03-07,active
POL-C114-CI,demo-acts-1-3,C114,critical_illness,500000,4800,20_years,2024-10-08T09:00:00+08:00,2027-03-08,active
POL-C115-CI,demo-acts-1-3,C115,critical_illness,600000,5400,20_years,2024-10-05T09:00:00+08:00,2027-03-09,active
POL-C116-CI,demo-acts-1-3,C116,critical_illness,700000,6000,20_years,2024-10-02T09:00:00+08:00,2027-03-10,active
POL-C117-CI,demo-acts-1-3,C117,critical_illness,500000,6600,20_years,2024-09-29T09:00:00+08:00,2027-03-11,active
POL-C118-CI,demo-acts-1-3,C118,critical_illness,600000,7200,20_years,2024-09-26T09:00:00+08:00,2027-03-12,active
POL-C119-CI,demo-acts-1-3,C119,critical_illness,700000,7800,20_years,2024-09-23T09:00:00+08:00,2027-03-13,active
POL-C120-CI,demo-acts-1-3,C120,critical_illness,500000,3600,20_years,2024-09-20T09:00:00+08:00,2026-11-14,active
