scenario_id,customer_id,age,family_stage,dependent_count,income_band,payment_capacity_band,profile_updated_at
demo-acts-1-3,C025,29,raising_children,2,150k-300k,medium,2026-08-11T09:00:00+08:00
demo-acts-1-3,C026,36,raising_children,3,150k-300k,medium,2026-08-10T09:00:00+08:00
demo-acts-1-3,C027,43,supporting_family,1,150k-300k,medium,2026-08-09T09:00:00+08:00
demo-acts-1-3,C028,50,raising_children,2,300k-500k,high,2026-08-08T09:00:00+08:00
demo-acts-1-3,C029,28,raising_children,3,150k-300k,medium,2026-08-07T09:00:00+08:00
demo-acts-1-3,C030,35,supporting_family,1,150k-300k,medium,2026-08-06T09:00:00+08:00
demo-acts-1-3,C031,42,raising_children,2,150k-300k,medium,2026-08-05T09:00:00+08:00
demo-acts-1-3,C032,49,raising_children,3,150k-300k,medium,2026-08-04T09:00:00+08:00
demo-acts-1-3,C033,56,supporting_family,1,150k-300k,medium,2026-08-03T09:00:00+08:00
demo-acts-1-3,C034,34,raising_children,2,150k-300k,medium,2026-08-02T09:00:00+08:00
demo-acts-1-3,C035,41,raising_children,3,150k-300k,medium,2026-08-01T09:00:00+08:00
demo-acts-1-3,C036,48,supporting_family,1,150k-300k,medium,2026-07-31T09:00:00+08:00
demo-acts-1-3,C037,55,raising_children,2,150k-300k,medium,2026-07-30T09:00:00+08:00
demo-acts-1-3,C038,33,raising_children,3,150k-300k,medium,2026-07-29T09:00:00+08:00
demo-acts-1-3,C039,40,supporting_family,1,150k-300k,medium,2026-07-28T09:00:00+08:00
demo-acts-1-3,C040,47,raising_children,2,150k-300k,medium,2026-07-27T09:00:00+08:00
demo-acts-1-3,C041,54,raising_children,3,150k-300k,medium,2026-07-26T09:00:00+08:00
demo-acts-1-3,C042,32,supporting_family,1,150k-300k,medium,2026-07-25T09:00:00+08:00
demo-acts-1-3,C043,39,raising_children,2,150k-300k,medium,2026-07-24T09:00:00+08:00
demo-acts-1-3,C044,46,raising_children,3,150k-300k,medium,2026-07-23T09:00:00+08:00
demo-acts-1-3,C045,53,supporting_family,1,150k-300k,medium,2026-09-05T09:00:00+08:00
demo-acts-1-3,C046,31,raising_children,2,150k-300k,medium,2026-09-04T09:00:00+08:00
demo-acts-1-3,C047,38,raising_children,3,150k-300k,medium,2026-09-03T09:00:00+08:00
demo-acts-1-3,C048,45,supporting_family,1,150k-300k,medium,2026-09-02T09:00:00+08:00
demo-acts-1-3,C049,52,raising_children,2,150k-300k,medium,2026-09-01T09:00:00+08:00
demo-acts-1-3,C050,30,raising_children,3,150k-300k,medium,2026-08-31T09:00:00+08:00
demo-acts-1-3,C051,37,supporting_family,1,150k-300k,medium,2026-08-30T09:00:00+08:00
demo-acts-1-3,C052,44,raising_children,2,150k-300k,medium,2026-08-29T09:00:00+08:00
demo-acts-1-3,C053,51,raising_children,3,150k-300k,medium,2026-08-28T09:00:00+08:00
demo-acts-1-3,C054,29,supporting_family,1,150k-300k,medium,2026-08-27T09:00:00+08:00
demo-acts-1-3,C055,36,raising_children,2,150k-300k,medium,2026-08-26T09:00:00+08:00
demo-acts-1-3,C056,43,raising_children,3,150k-300k,medium,2026-08-25T09:00:00+08:00
demo-acts-1-3,C057,50,supporting_family,1,150k-300k,medium,2026-08-24T09:00:00+08:00
demo-acts-1-3,C058,28,raising_children,2,150k-300k,medium,2026-08-23T09:00:00+08:00
demo-acts-1-3,C059,35,raising_children,3,150k-300k,medium,2026-08-22T09:00:00+08:00
demo-acts-1-3,C060,42,supporting_family,1,150k-300k,medium,2026-08-21T09:00:00+08:00
demo-acts-1-3,C061,49,raising_children,2,150k-300k,medium,2026-08-20T09:00:00+08:00
demo-acts-1-3,C062,56,raising_children,3,150k-300k,medium,2026-08-19T09:00:00+08:00
demo-acts-1-3,C063,34,supporting_family,1,150k-300k,medium,2026-08-18T09:00:00+08:00
demo-acts-1-3,C064,41,raising_children,2,150k-300k,medium,2026-08-17T09:00:00+08:00
demo-acts-1-3,C065,48,raising_children,3,150k-300k,medium,2026-08-16T09:00:00+08:00
demo-acts-1-3,C066,55,supporting_family,1,150k-300k,medium,2026-08-15T09:00:00+08:00
demo-acts-1-3,C067,33,raising_children,2,150k-300k,medium,2026-08-14T09:00:00+08:00
demo-acts-1-3,C068,40,raising_children,3,150k-300k,medium,2026-08-13T09:00:00+08:00
demo-acts-1-3,C069,47,supporting_family,1,150k-300k,medium,2026-08-12T09:00:00+08:00
demo-acts-1-3,C070,54,raising_children,2,150k-300k,medium,2026-08-11T09:00:00+08:00
demo-acts-1-3,C071,32,raising_children,3,150k-300k,medium,2026-08-10T09:00:00+08:00
demo-acts-1-3,C072,39,supporting_family,1,150k-300k,medium,2026-08-09T09:00:00+08:00
demo-acts-1-3,C073,46,raising_children,2,150k-300k,medium,2026-08-08T09:00:00+08:00
demo-acts-1-3,C074,53,raising_children,3,150k-300k,medium,2026-08-07T09:00:00+08:00
demo-acts-1-3,C075,31,supporting_family,1,150k-300k,medium,2026-08-06T09:00:00+08:00
demo-acts-1-3,C076,38,raising_children,2,150k-300k,medium,2026-08-05T09:00:00+08:00
demo-acts-1-3,C077,45,raising_children,3,150k-300k,medium,2026-08-04T09:00:00+08:00
demo-acts-1-3,C078,52,supporting_family,1,80k-150k,low,2026-08-03T09:00:00+08:00
demo-acts-1-3,C079,30,raising_children,2,80k-150k,low,2026-08-02T09:00:00+08:00
demo-acts-1-3,C080,37,raising_children,3,80k-150k,low,2026-08-01T09:00:00+08:00
demo-acts-1-3,C081,44,supporting_family,1,80k-150k,low,2026-07-31T09:00:00+08:00
demo-acts-1-3,C082,51,raising_children,2,80k-150k,low,2026-07-30T09:00:00+08:00
demo-acts-1-3,C083,29,raising_children,3,80k-150k,low,2026-07-29T09:00:00+08:00
demo-acts-1-3,C084,36,supporting_family,1,80k-150k,low,2026-07-28T09:00:00+08:00
demo-acts-1-3,C085,43,raising_children,2,80k-150k,low,2026-07-27T09:00:00+08:00
demo-acts-1-3,C086,50,raising_children,3,80k-150k,low,2026-07-26T09:00:00+08:00
demo-acts-1-3,C087,28,single,1,80k-150k,low,2026-07-25T09:00:00+08:00
demo-acts-1-3,C088,35,empty_nest,0,80k-150k,low,2026-07-24T09:00:00+08:00
demo-acts-1-3,C089,42,single,1,80k-150k,low,2026-07-23T09:00:00+08:00
demo-acts-1-3,C090,49,empty_nest,0,80k-150k,low,2026-09-05T09:00:00+08:00
demo-acts-1-3,C091,56,single,1,80k-150k,low,2026-09-04T09:00:00+08:00
demo-acts-1-3,C092,34,empty_nest,0,80k-150k,low,2026-09-03T09:00:00+08:00
demo-acts-1-3,C093,41,single,1,80k-150k,low,2026-09-02T09:00:00+08:00
demo-acts-1-3,C094,48,empty_nest,0,80k-150k,low,2026-09-01T09:00:00+08:00
demo-acts-1-3,C095,55,single,1,80k-150k,low,2026-08-31T09:00:00+08:00
demo-acts-1-3,C096,33,empty_nest,0,80k-150k,low,2026-08-30T09:00:00+08:00
demo-acts-1-3,C097,40,single,1,80k-150k,low,2026-08-29T09:00:00+08:00
demo-acts-1-3,C098,47,empty_nest,0,80k-150k,low,2026-08-28T09:00:00+08:00
demo-acts-1-3,C099,54,single,1,80k-150k,low,2026-08-27T09:00:00+08:00
demo-acts-1-3,C100,32,empty_nest,0,80k-150k,low,2026-08-26T09:00:00+08:00
demo-acts-1-3,C101,39,single,1,80k-150k,low,2026-08-25T09:00:00+08:00
demo-acts-1-3,C102,46,empty_nest,0,80k-150k,low,2026-08-24T09:00:00+08:00
demo-acts-1-3,C103,53,single,1,80k-150k,low,2026-08-23T09:00:00+08:00
demo-acts-1-3,C104,31,empty_nest,0,80k-150k,low,2026-08-22T09:00:00+08:00
demo-acts-1-3,C105,38,single,1,80k-150k,low,2026-08-21T09:00:00+08:00
demo-acts-1-3,C106,45,empty_nest,0,80k-150k,low,2026-08-20T09:00:00+08:00
demo-acts-1-3,C107,52,single,1,80k-150k,low,2026-08-19T09:00:00+08:00
demo-acts-1-3,C108,30,empty_nest,0,80k-150k,low,2026-08-18T09:00:00+08:00
demo-acts-1-3,C109,37,single,1,80k-150k,low,2026-08-17T09:00:00+08:00
demo-acts-1-3,C110,44,empty_nest,0,80k-150k,low,2026-08-16T09:00:00+08:00
demo-acts-1-3,C111,51,single,1,80k-150k,low,2026-08-15T09:00:00+08:00
demo-acts-1-3,C112,29,empty_nest,0,80k-150k,low,2026-08-14T09:00:00+08:00
demo-acts-1-3,C113,36,single,1,80k-150k,low,2026-08-13T09:00:00+08:00
demo-acts-1-3,C114,43,empty_nest,0,80k-150k,low,2026-08-12T09:00:00+08:00
demo-acts-1-3,C115,50,single,1,80k-150k,low,2026-08-11T09:00:00+08:00
demo-acts-1-3,C116,28,empty_nest,0,80k-150k,low,2026-08-10T09:00:00+08:00
demo-acts-1-3,C117,35,single,1,80k-150k,low,2026-08-09T09:00:00+08:00
demo-acts-1-3,C118,42,empty_nest,0,80k-150k,low,2026-08-08T09:00:00+08:00
demo-acts-1-3,C119,49,single,1,80k-150k,low,2026-08-07T09:00:00+08:00
demo-acts-1-3,C120,56,empty_nest,0,80k-150k,low,2026-08-06T09:00:00+08:00
