fact_id,scenario_id,customer_id,responsibility_level,required_coverage_amount,source_type,occurred_at,valid_until,authorization_id
FAMILY-C019,demo-acts-1-3,C019,high,1000000,protection_assessment,2026-08-22T09:00:00+08:00,2027-02-18T09:00:00+08:00,AUTH-C019-DATA
FAMILY-C020,demo-acts-1-3,C020,high,1000000,protection_assessment,2026-08-21T09:00:00+08:00,2027-02-17T09:00:00+08:00,AUTH-C020-DATA
FAMILY-C021,demo-acts-1-3,C021,high,1000000,protection_assessment,2026-08-20T09:00:00+08:00,2027-02-16T09:00:00+08:00,AUTH-C021-DATA
FAMILY-C022,demo-acts-1-3,C022,high,1000000,protection_assessment,2026-08-19T09:00:00+08:00,2027-02-15T09:00:00+08:00,AUTH-C022-DATA
FAMILY-C023,demo-acts-1-3,C023,high,1000000,protection_assessment,2026-08-18T09:00:00+08:00,2027-02-14T09:00:00+08:00,AUTH-C023-DATA
FAMILY-C024,demo-acts-1-3,C024,high,1000000,protection_assessment,2026-08-17T09:00:00+08:00,2027-02-13T09:00:00+08:00,AUTH-C024-DATA
FAMILY-C025,demo-acts-1-3,C025,high,1000000,protection_assessment,2026-08-16T09:00:00+08:00,2027-02-12T09:00:00+08:00,AUTH-C025-DATA
FAMILY-C026,demo-acts-1-3,C026,high,1000000,protection_assessment,2026-08-15T09:00:00+08:00,2027-02-11T09:00:00+08:00,AUTH-C026-DATA
FAMILY-C027,demo-acts-1-3,C027,high,1000000,protection_assessment,2026-08-14T09:00:00+08:00,2027-02-10T09:00:00+08:00,AUTH-C027-DATA
FAMILY-C028,demo-acts-1-3,C028,high,1200000,customer_update,2026-08-13T09:00:00+08:00,2027-02-09T09:00:00+08:00,AUTH-C028-DATA
FAMILY-C029,demo-acts-1-3,C029,high,1000000,protection_assessment,2026-08-12T09:00:00+08:00,2027-02-08T09:00:00+08:00,AUTH-C029-DATA
FAMILY-C030,demo-acts-1-3,C030,high,1000000,protection_assessment,2026-08-11T09:00:00+08:00,2027-02-07T09:00:00+08:00,AUTH-C030-DATA
FAMILY-C031,demo-acts-1-3,C031,high,1000000,protection_assessment,2026-08-10T09:00:00+08:00,2027-02-06T09:00:00+08:00,AUTH-C031-DATA
FAMILY-C032,demo-acts-1-3,C032,high,1000000,protection_assessment,2026-08-09T09:00:00+08:00,2027-02-05T09:00:00+08:00,AUTH-C032-DATA
FAMILY-C033,demo-acts-1-3,C033,high,1000000,protection_assessment,2026-08-08T09:00:00+08:00,2027-02-04T09:00:00+08:00,AUTH-C033-DATA
FAMILY-C034,demo-acts-1-3,C034,high,1000000,protection_assessment,2026-08-07T09:00:00+08:00,2027-02-03T09:00:00+08:00,AUTH-C034-DATA
FAMILY-C035,demo-acts-1-3,C035,high,1000000,protection_assessment,2026-08-06T09:00:00+08:00,2027-02-02T09:00:00+08:00,AUTH-C035-DATA
FAMILY-C036,demo-acts-1-3,C036,high,1000000,protection_assessment,2026-08-05T09:00:00+08:00,2027-02-01T09:00:00+08:00,AUTH-C036-DATA
FAMILY-C037,demo-acts-1-3,C037,high,1000000,protection_assessment,2026-08-04T09:00:00+08:00,2027-01-31T09:00:00+08:00,AUTH-C037-DATA
FAMILY-C038,demo-acts-1-3,C038,high,1000000,protection_assessment,2026-08-03T09:00:00+08:00,2027-01-30T09:00:00+08:00,AUTH-C038-DATA
FAMILY-C039,demo-acts-1-3,C039,high,1000000,protection_assessment,2026-08-02T09:00:00+08:00,2027-01-29T09:00:00+08:00,AUTH-C039-DATA
FAMILY-C040,demo-acts-1-3,C040,high,1000000,protection_assessment,2026-08-01T09:00:00+08:00,2027-01-28T09:00:00+08:00,AUTH-C040-DATA
FAMILY-C041,demo-acts-1-3,C041,high,1000000,protection_assessment,2026-07-31T09:00:00+08:00,2027-01-27T09:00:00+08:00,AUTH-C041-DATA
FAMILY-C042,demo-acts-1-3,C042,high,1000000,protection_assessment,2026-07-30T09:00:00+08:00,2027-01-26T09:00:00+08:00,AUTH-C042-DATA
FAMILY-C043,demo-acts-1-3,C043,high,1000000,protection_assessment,2026-07-29T09:00:00+08:00,2027-01-25T09:00:00+08:00,AUTH-C043-DATA
FAMILY-C044,demo-acts-1-3,C044,high,1000000,protection_assessment,2026-07-28T09:00:00+08:00,2027-01-24T09:00:00+08:00,AUTH-C044-DATA
FAMILY-C045,demo-acts-1-3,C045,high,1000000,protection_assessment,2026-07-27T09:00:00+08:00,2027-01-23T09:00:00+08:00,AUTH-C045-DATA
FAMILY-C046,demo-acts-1-3,C046,high,1000000,protection_assessment,2026-07-26T09:00:00+08:00,2027-01-22T09:00:00+08:00,AUTH-C046-DATA
FAMILY-C047,demo-acts-1-3,C047,high,1000000,protection_assessment,2026-07-25T09:00:00+08:00,2027-01-21T09:00:00+08:00,AUTH-C047-DATA
FAMILY-C048,demo-acts-1-3,C048,high,1000000,protection_assessment,2026-07-24T09:00:00+08:00,2027-01-20T09:00:00+08:00,AUTH-C048-DATA
FAMILY-C049,demo-acts-1-3,C049,high,1000000,protection_assessment,2026-07-23T09:00:00+08:00,2027-01-19T09:00:00+08:00,AUTH-C049-DATA
FAMILY-C050,demo-acts-1-3,C050,high,1000000,protection_assessment,2026-07-22T09:00:00+08:00,2027-01-18T09:00:00+08:00,AUTH-C050-DATA
FAMILY-C051,demo-acts-1-3,C051,high,1000000,protection_assessment,2026-07-21T09:00:00+08:00,2027-01-17T09:00:00+08:00,AUTH-C051-DATA
FAMILY-C052,demo-acts-1-3,C052,high,1000000,protection_assessment,2026-07-20T09:00:00+08:00,2027-01-16T09:00:00+08:00,AUTH-C052-DATA
FAMILY-C053,demo-acts-1-3,C053,high,1000000,protection_assessment,2026-07-19T09:00:00+08:00,2027-01-15T09:00:00+08:00,AUTH-C053-DATA
FAMILY-C054,demo-acts-1-3,C054,high,1000000,protection_assessment,2026-07-18T09:00:00+08:00,2027-01-14T09:00:00+08:00,AUTH-C054-DATA
FAMILY-C055,demo-acts-1-3,C055,high,1000000,protection_assessment,2026-09-10T09:00:00+08:00,2027-03-09T09:00:00+08:00,AUTH-C055-DATA
FAMILY-C056,demo-acts-1-3,C056,high,1000000,protection_assessment,2026-09-09T09:00:00+08:00,2027-03-08T09:00:00+08:00,AUTH-C056-DATA
FAMILY-C057,demo-acts-1-3,C057,high,1000000,protection_assessment,2026-09-08T09:00:00+08:00,2027-03-07T09:00:00+08:00,AUTH-C057-DATA
FAMILY-C058,demo-acts-1-3,C058,high,1000000,protection_assessment,2026-09-07T09:00:00+08:00,2027-03-06T09:00:00+08:00,AUTH-C058-DATA
FAMILY-C059,demo-acts-1-3,C059,high,1000000,protection_assessment,2026-09-06T09:00:00+08:00,2027-03-05T09:00:00+08:00,AUTH-C059-DATA
FAMILY-C060,demo-acts-1-3,C060,high,1000000,protection_assessment,2026-09-05T09:00:00+08:00,2027-03-04T09:00:00+08:00,AUTH-C060-DATA
FAMILY-C061,demo-acts-1-3,C061,high,1000000,protection_assessment,2026-09-04T09:00:00+08:00,2027-03-03T09:00:00+08:00,AUTH-C061-DATA
FAMILY-C062,demo-acts-1-3,C062,high,1000000,protection_assessment,2026-09-03T09:00:00+08:00,2027-03-02T09:00:00+08:00,AUTH-C062-DATA
FAMILY-C063,demo-acts-1-3,C063,high,1000000,protection_assessment,2026-09-02T09:00:00+08:00,2027-03-01T09:00:00+08:00,AUTH-C063-DATA
FAMILY-C064,demo-acts-1-3,C064,high,1000000,protection_assessment,2026-09-01T09:00:00+08:00,2027-02-28T09:00:00+08:00,AUTH-C064-DATA
FAMILY-C065,demo-acts-1-3,C065,high,1000000,protection_assessment,2026-08-31T09:00:00+08:00,2027-02-27T09:00:00+08:00,AUTH-C065-DATA
FAMILY-C066,demo-acts-1-3,C066,high,1000000,protection_assessment,2026-08-30T09:00:00+08:00,2027-02-26T09:00:00+08:00,AUTH-C066-DATA
FAMILY-C067,demo-acts-1-3,C067,high,1000000,protection_assessment,2026-08-29T09:00:00+08:00,2027-02-25T09:00:00+08:00,AUTH-C067-DATA
FAMILY-C068,demo-acts-1-3,C068,high,1000000,protection_assessment,2026-08-28T09:00:00+08:00,2027-02-24T09:00:00+08:00,AUTH-C068-DATA
FAMILY-C069,demo-acts-1-3,C069,high,1000000,protection_assessment,2026-08-27T09:00:00+08:00,2027-02-23T09:00:00+08:00,AUTH-C069-DATA
FAMILY-C070,demo-acts-1-3,C070,high,1000000,protection_assessment,2026-08-26T09:00:00+08:00,2027-02-22T09:00:00+08:00,AUTH-C070-DATA
FAMILY-C071,demo-acts-1-3,C071,high,1000000,protection_assessment,2026-08-25T09:00:00+08:00,2027-02-21T09:00:00+08:00,AUTH-C071-DATA
FAMILY-C072,demo-acts-1-3,C072,high,1000000,protection_assessment,2026-08-24T09:00:00+08:00,2027-02-20T09:00:00+08:00,AUTH-C072-DATA
FAMILY-C073,demo-acts-1-3,C073,high,1000000,protection_assessment,2026-08-23T09:00:00+08:00,2027-02-19T09:00:00+08:00,AUTH-C073-DATA
FAMILY-C074,demo-acts-1-3,C074,high,1000000,protection_assessment,2026-08-22T09:00:00+08:00,2027-02-18T09:00:00+08:00,AUTH-C074-DATA
FAMILY-C075,demo-acts-1-3,C075,high,1000000,protection_assessment,2026-08-21T09:00:00+08:00,2027-02-17T09:00:00+08:00,AUTH-C075-DATA
FAMILY-C076,demo-acts-1-3,C076,high,1000000,protection_assessment,2026-08-20T09:00:00+08:00,2027-02-16T09:00:00+08:00,AUTH-C076-DATA
FAMILY-C077,demo-acts-1-3,C077,high,1000000,protection_assessment,2026-08-19T09:00:00+08:00,2027-02-15T09:00:00+08:00,AUTH-C077-DATA
FAMILY-C078,demo-acts-1-3,C078,high,1000000,protection_assessment,2026-08-18T09:00:00+08:00,2027-02-14T09:00:00+08:00,AUTH-C078-DATA
FAMILY-C079,demo-acts-1-3,C079,high,1000000,protection_assessment,2026-08-17T09:00:00+08:00,2027-02-13T09:00:00+08:00,AUTH-C079-DATA
FAMILY-C080,demo-acts-1-3,C080,high,1000000,protection_assessment,2026-08-16T09:00:00+08:00,2027-02-12T09:00:00+08:00,AUTH-C080-DATA
FAMILY-C081,demo-acts-1-3,C081,high,1000000,protection_assessment,2026-08-15T09:00:00+08:00,2027-02-11T09:00:00+08:00,AUTH-C081-DATA
FAMILY-C082,demo-acts-1-3,C082,high,1000000,protection_assessment,2026-08-14T09:00:00+08:00,2027-02-10T09:00:00+08:00,AUTH-C082-DATA
FAMILY-C083,demo-acts-1-3,C083,high,1000000,protection_assessment,2026-08-13T09:00:00+08:00,2027-02-09T09:00:00+08:00,AUTH-C083-DATA
FAMILY-C084,demo-acts-1-3,C084,high,1000000,protection_assessment,2026-08-12T09:00:00+08:00,2027-02-08T09:00:00+08:00,AUTH-C084-DATA
FAMILY-C085,demo-acts-1-3,C085,high,1000000,protection_assessment,2026-08-11T09:00:00+08:00,2027-02-07T09:00:00+08:00,AUTH-C085-DATA
FAMILY-C086,demo-acts-1-3,C086,high,1000000,protection_assessment,2026-08-10T09:00:00+08:00,2027-02-06T09:00:00+08:00,AUTH-C086-DATA
FAMILY-C087,demo-acts-1-3,C087,low,500000,protection_assessment,2026-07-20T09:00:00+08:00,2027-01-16T09:00:00+08:00,AUTH-C087-DATA
FAMILY-C088,demo-acts-1-3,C088,low,500000,protection_assessment,2026-07-19T09:00:00+08:00,2027-01-15T09:00:00+08:00,AUTH-C088-DATA
FAMILY-C089,demo-acts-1-3,C089,low,500000,protection_assessment,2026-07-18T09:00:00+08:00,2027-01-14T09:00:00+08:00,AUTH-C089-DATA
FAMILY-C090,demo-acts-1-3,C090,low,500000,protection_assessment,2026-07-17T09:00:00+08:00,2027-01-13T09:00:00+08:00,AUTH-C090-DATA
FAMILY-C091,demo-acts-1-3,C091,low,500000,protection_assessment,2026-07-16T09:00:00+08:00,2027-01-12T09:00:00+08:00,AUTH-C091-DATA
FAMILY-C092,demo-acts-1-3,C092,low,500000,protection_assessment,2026-07-15T09:00:00+08:00,2027-01-11T09:00:00+08:00,AUTH-C092-DATA
FAMILY-C093,demo-acts-1-3,C093,low,500000,protection_assessment,2026-07-14T09:00:00+08:00,2027-01-10T09:00:00+08:00,AUTH-C093-DATA
FAMILY-C094,demo-acts-1-3,C094,low,500000,protection_assessment,2026-07-13T09:00:00+08:00,2027-01-09T09:00:00+08:00,AUTH-C094-DATA
FAMILY-C095,demo-acts-1-3,C095,low,500000,protection_assessment,2026-07-12T09:00:00+08:00,2027-01-08T09:00:00+08:00,AUTH-C095-DATA
FAMILY-C096,demo-acts-1-3,C096,low,500000,protection_assessment,2026-07-11T09:00:00+08:00,2027-01-07T09:00:00+08:00,AUTH-C096-DATA
FAMILY-C097,demo-acts-1-3,C097,low,500000,protection_assessment,2026-07-10T09:00:00+08:00,2027-01-06T09:00:00+08:00,AUTH-C097-DATA
FAMILY-C098,demo-acts-1-3,C098,low,500000,protection_assessment,2026-07-09T09:00:00+08:00,2027-01-05T09:00:00+08:00,AUTH-C098-DATA
FAMILY-C099,demo-acts-1-3,C099,low,500000,protection_assessment,2026-07-08T09:00:00+08:00,2027-01-04T09:00:00+08:00,AUTH-C099-DATA
FAMILY-C100,demo-acts-1-3,C100,low,500000,protection_assessment,2026-08-26T09:00:00+08:00,2027-02-22T09:00:00+08:00,AUTH-C100-DATA
FAMILY-C101,demo-acts-1-3,C101,low,500000,protection_assessment,2026-08-25T09:00:00+08:00,2027-02-21T09:00:00+08:00,AUTH-C101-DATA
FAMILY-C102,demo-acts-1-3,C102,low,500000,protection_assessment,2026-08-24T09:00:00+08:00,2027-02-20T09:00:00+08:00,AUTH-C102-DATA
FAMILY-C103,demo-acts-1-3,C103,low,500000,protection_assessment,2026-08-23T09:00:00+08:00,2027-02-19T09:00:00+08:00,AUTH-C103-DATA
FAMILY-C104,demo-acts-1-3,C104,low,500000,protection_assessment,2026-08-22T09:00:00+08:00,2027-02-18T09:00:00+08:00,AUTH-C104-DATA
FAMILY-C105,demo-acts-1-3,C105,low,500000,protection_assessment,2026-08-21T09:00:00+08:00,2027-02-17T09:00:00+08:00,AUTH-C105-DATA
FAMILY-C106,demo-acts-1-3,C106,low,500000,protection_assessment,2026-08-20T09:00:00+08:00,2027-02-16T09:00:00+08:00,AUTH-C106-DATA
FAMILY-C107,demo-acts-1-3,C107,low,500000,protection_assessment,2026-08-19T09:00:00+08:00,2027-02-15T09:00:00+08:00,AUTH-C107-DATA
FAMILY-C108,demo-acts-1-3,C108,low,500000,protection_assessment,2026-08-18T09:00:00+08:00,2027-02-14T09:00:00+08:00,AUTH-C108-DATA
FAMILY-C109,demo-acts-1-3,C109,low,500000,protection_assessment,2026-08-17T09:00:00+08:00,2027-02-13T09:00:00+08:00,AUTH-C109-DATA
FAMILY-C110,demo-acts-1-3,C110,low,500000,protection_assessment,2026-08-16T09:00:00+08:00,2027-02-12T09:00:00+08:00,AUTH-C110-DATA
FAMILY-C111,demo-acts-1-3,C111,low,500000,protection_assessment,2026-08-15T09:00:00+08:00,2027-02-11T09:00:00+08:00,AUTH-C111-DATA
FAMILY-C112,demo-acts-1-3,C112,low,500000,protection_assessment,2026-08-14T09:00:00+08:00,2027-02-10T09:00:00+08:00,AUTH-C112-DATA
FAMILY-C113,demo-acts-1-3,C113,low,500000,protection_assessment,2026-08-13T09:00:00+08:00,2027-02-09T09:00:00+08:00,AUTH-C113-DATA
FAMILY-C114,demo-acts-1-3,C114,low,500000,protection_assessment,2026-08-12T09:00:00+08:00,2027-02-08T09:00:00+08:00,AUTH-C114-DATA
FAMILY-C115,demo-acts-1-3,C115,low,500000,protection_assessment,2026-08-11T09:00:00+08:00,2027-02-07T09:00:00+08:00,AUTH-C115-DATA
FAMILY-C116,demo-acts-1-3,C116,low,500000,protection_assessment,2026-08-10T09:00:00+08:00,2027-02-06T09:00:00+08:00,AUTH-C116-DATA
FAMILY-C117,demo-acts-1-3,C117,low,500000,protection_assessment,2026-08-09T09:00:00+08:00,2027-02-05T09:00:00+08:00,AUTH-C117-DATA
FAMILY-C118,demo-acts-1-3,C118,low,500000,protection_assessment,2026-08-08T09:00:00+08:00,2027-02-04T09:00:00+08:00,AUTH-C118-DATA
FAMILY-C119,demo-acts-1-3,C119,low,500000,protection_assessment,2026-08-07T09:00:00+08:00,2027-02-03T09:00:00+08:00,AUTH-C119-DATA
FAMILY-C120,demo-acts-1-3,C120,low,500000,protection_assessment,2026-08-06T09:00:00+08:00,2027-02-02T09:00:00+08:00,AUTH-C120-DATA
