event_id,scenario_id,customer_id,event_type,subject,occurred_at,source,metadata
BEH-0024,demo-acts-1-3,C006,assessment_completed,critical_illness,2026-09-10T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0025,demo-acts-1-3,C007,family_information_updated,family_responsibility,2026-09-07T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0026,demo-acts-1-3,C007,content_viewed,critical_illness,2026-09-02T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0027,demo-acts-1-3,C007,content_viewed,critical_illness,2026-09-10T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0028,demo-acts-1-3,C007,assessment_completed,critical_illness,2026-09-09T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0029,demo-acts-1-3,C008,family_information_updated,family_responsibility,2026-09-06T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0030,demo-acts-1-3,C008,content_viewed,critical_illness,2026-09-01T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0031,demo-acts-1-3,C008,content_viewed,critical_illness,2026-09-09T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0032,demo-acts-1-3,C008,assessment_completed,critical_illness,2026-09-12T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0033,demo-acts-1-3,C009,family_information_updated,family_responsibility,2026-09-05T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0034,demo-acts-1-3,C009,content_viewed,critical_illness,2026-08-31T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0035,demo-acts-1-3,C009,content_viewed,critical_illness,2026-09-11T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0036,demo-acts-1-3,C009,assessment_completed,critical_illness,2026-09-11T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0037,demo-acts-1-3,C010,family_information_updated,family_responsibility,2026-09-04T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0038,demo-acts-1-3,C010,content_viewed,critical_illness,2026-08-30T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0039,demo-acts-1-3,C010,content_viewed,critical_illness,2026-09-10T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0040,demo-acts-1-3,C010,assessment_completed,critical_illness,2026-09-10T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0041,demo-acts-1-3,C011,family_information_updated,family_responsibility,2026-09-03T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0042,demo-acts-1-3,C011,content_viewed,critical_illness,2026-08-29T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0043,demo-acts-1-3,C011,content_viewed,critical_illness,2026-09-09T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0044,demo-acts-1-3,C011,assessment_completed,critical_illness,2026-09-09T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0045,demo-acts-1-3,C028,family_information_updated,family_responsibility,2026-09-07T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0046,demo-acts-1-3,C028,content_viewed,critical_illness,2026-08-30T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0047,demo-acts-1-3,C028,content_viewed,critical_illness,2026-09-10T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0048,demo-acts-1-3,C028,assessment_completed,critical_illness,2026-09-12T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0049,demo-acts-1-3,C028,consultation_started,critical_illness,2026-09-13T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0050,demo-acts-1-3,C012,content_viewed,critical_illness,2026-09-07T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0051,demo-acts-1-3,C014,assessment_started,critical_illness,2026-09-05T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0052,demo-acts-1-3,C015,content_viewed,critical_illness,2026-09-04T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0053,demo-acts-1-3,C018,content_viewed,critical_illness,2026-09-01T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0054,demo-acts-1-3,C021,content_viewed,critical_illness,2026-08-29T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0055,demo-acts-1-3,C021,assessment_started,critical_illness,2026-09-08T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0056,demo-acts-1-3,C024,content_viewed,critical_illness,2026-09-07T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0057,demo-acts-1-3,C027,content_viewed,critical_illness,2026-09-04T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0058,demo-acts-1-3,C030,content_viewed,critical_illness,2026-09-01T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0059,demo-acts-1-3,C033,content_viewed,critical_illness,2026-08-29T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0060,demo-acts-1-3,C035,assessment_started,critical_illness,2026-09-04T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0061,demo-acts-1-3,C036,content_viewed,critical_illness,2026-09-07T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0062,demo-acts-1-3,C039,content_viewed,critical_illness,2026-09-04T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0063,demo-acts-1-3,C081,content_viewed,medical,2026-09-04T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0064,demo-acts-1-3,C081,assessment_started,medical,2026-09-05T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0065,demo-acts-1-3,C082,content_viewed,medical,2026-09-03T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0066,demo-acts-1-3,C082,assessment_started,medical,2026-09-04T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0067,demo-acts-1-3,C083,content_viewed,medical,2026-09-02T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0068,demo-acts-1-3,C083,assessment_started,medical,2026-09-03T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0069,demo-acts-1-3,C084,content_viewed,medical,2026-09-01T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0070,demo-acts-1-3,C084,assessment_started,medical,2026-09-14T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0071,demo-acts-1-3,C085,content_viewed,medical,2026-08-31T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0072,demo-acts-1-3,C085,assessment_started,medical,2026-09-13T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0073,demo-acts-1-3,C086,content_viewed,medical,2026-08-30T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0074,demo-acts-1-3,C086,assessment_started,medical,2026-09-12T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0075,demo-acts-1-3,C087,content_viewed,medical,2026-08-29T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0076,demo-acts-1-3,C087,assessment_started,medical,2026-09-11T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0077,demo-acts-1-3,C088,content_viewed,medical,2026-08-28T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0078,demo-acts-1-3,C088,assessment_started,medical,2026-09-10T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0079,demo-acts-1-3,C089,content_viewed,medical,2026-08-27T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0080,demo-acts-1-3,C089,assessment_started,medical,2026-09-09T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0081,demo-acts-1-3,C090,content_viewed,medical,2026-09-13T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0082,demo-acts-1-3,C090,assessment_started,medical,2026-09-08T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0083,demo-acts-1-3,C091,content_viewed,medical,2026-09-12T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0084,demo-acts-1-3,C091,assessment_started,medical,2026-09-07T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0085,demo-acts-1-3,C092,content_viewed,medical,2026-09-11T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0086,demo-acts-1-3,C092,assessment_started,medical,2026-09-06T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0087,demo-acts-1-3,C093,content_viewed,medical,2026-09-10T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0088,demo-acts-1-3,C093,assessment_started,medical,2026-09-05T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0089,demo-acts-1-3,C094,content_viewed,medical,2026-09-09T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0090,demo-acts-1-3,C094,assessment_started,medical,2026-09-04T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0091,demo-acts-1-3,C095,content_viewed,medical,2026-09-08T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0092,demo-acts-1-3,C095,assessment_started,medical,2026-09-03T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0093,demo-acts-1-3,C096,content_viewed,medical,2026-09-07T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0094,demo-acts-1-3,C096,assessment_started,medical,2026-09-14T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0095,demo-acts-1-3,C097,content_viewed,medical,2026-09-06T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0096,demo-acts-1-3,C097,assessment_started,medical,2026-09-13T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0097,demo-acts-1-3,C098,content_viewed,medical,2026-09-05T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0098,demo-acts-1-3,C098,assessment_started,medical,2026-09-12T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0099,demo-acts-1-3,C099,content_viewed,medical,2026-09-04T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0100,demo-acts-1-3,C099,assessment_started,medical,2026-09-11T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0101,demo-acts-1-3,C100,content_viewed,medical,2026-09-03T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0102,demo-acts-1-3,C100,assessment_started,medical,2026-09-10T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0103,demo-acts-1-3,C101,content_viewed,medical,2026-09-02T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0104,demo-acts-1-3,C101,assessment_started,medical,2026-09-09T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0105,demo-acts-1-3,C102,content_viewed,medical,2026-09-01T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0106,demo-acts-1-3,C102,assessment_started,medical,2026-09-08T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0107,demo-acts-1-3,C103,content_viewed,medical,2026-08-31T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0108,demo-acts-1-3,C103,assessment_started,medical,2026-09-07T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0109,demo-acts-1-3,C104,content_viewed,medical,2026-08-30T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0110,demo-acts-1-3,C104,assessment_started,medical,2026-09-06T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0111,demo-acts-1-3,C105,content_viewed,medical,2026-08-29T09:00:00+08:00,synthetic_customer_activity,{}
BEH-0112,demo-acts-1-3,C105,assessment_started,medical,2026-09-05T09:00:00+08:00,synthetic_customer_activity,{}
