fact_id,scenario_id,customer_id,information_complete,payment_capacity_available,candidate_scope_available,professional_review_required,evaluated_at,definition_version
SUIT-C072,demo-acts-1-3,C072,true,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C073,demo-acts-1-3,C073,true,true,true,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C074,demo-acts-1-3,C074,true,true,true,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C075,demo-acts-1-3,C075,true,true,true,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C076,demo-acts-1-3,C076,true,true,true,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C077,demo-acts-1-3,C077,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C078,demo-acts-1-3,C078,false,false,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C079,demo-acts-1-3,C079,false,false,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C080,demo-acts-1-3,C080,false,false,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
SUIT-C081,demo-acts-1-3,C081,false,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
SUIT-C082,demo-acts-1-3,C082,false,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C083,demo-acts-1-3,C083,true,true,false,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C084,demo-acts-1-3,C084,true,true,false,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C085,demo-acts-1-3,C085,true,true,false,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C086,demo-acts-1-3,C086,true,true,false,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C087,demo-acts-1-3,C087,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C088,demo-acts-1-3,C088,true,true,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C089,demo-acts-1-3,C089,true,true,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C090,demo-acts-1-3,C090,true,true,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
SUIT-C091,demo-acts-1-3,C091,true,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
SUIT-C092,demo-acts-1-3,C092,true,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C093,demo-acts-1-3,C093,true,true,true,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C094,demo-acts-1-3,C094,true,true,true,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C095,demo-acts-1-3,C095,true,true,true,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C096,demo-acts-1-3,C096,true,true,true,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C097,demo-acts-1-3,C097,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C098,demo-acts-1-3,C098,true,true,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C099,demo-acts-1-3,C099,true,true,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C100,demo-acts-1-3,C100,true,true,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
SUIT-C101,demo-acts-1-3,C101,true,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
SUIT-C102,demo-acts-1-3,C102,true,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C103,demo-acts-1-3,C103,true,true,true,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C104,demo-acts-1-3,C104,true,true,true,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C105,demo-acts-1-3,C105,true,true,true,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C106,demo-acts-1-3,C106,true,true,true,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C107,demo-acts-1-3,C107,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C108,demo-acts-1-3,C108,true,true,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C109,demo-acts-1-3,C109,true,true,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C110,demo-acts-1-3,C110,true,true,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
SUIT-C111,demo-acts-1-3,C111,true,true,true,true,2026-09-11T09:00:00+08:00,suitability-facts-v1
SUIT-C112,demo-acts-1-3,C112,true,true,true,true,2026-09-10T09:00:00+08:00,suitability-facts-v1
SUIT-C113,demo-acts-1-3,C113,true,true,true,true,2026-09-09T09:00:00+08:00,suitability-facts-v1
SUIT-C114,demo-acts-1-3,C114,true,true,true,true,2026-09-08T09:00:00+08:00,suitability-facts-v1
SUIT-C115,demo-acts-1-3,C115,true,true,true,true,2026-09-07T09:00:00+08:00,suitability-facts-v1
SUIT-C116,demo-acts-1-3,C116,true,true,true,true,2026-09-06T09:00:00+08:00,suitability-facts-v1
SUIT-C117,demo-acts-1-3,C117,true,true,true,true,2026-09-05T09:00:00+08:00,suitability-facts-v1
SUIT-C118,demo-acts-1-3,C118,true,true,true,true,2026-09-04T09:00:00+08:00,suitability-facts-v1
SUIT-C119,demo-acts-1-3,C119,true,true,true,true,2026-09-03T09:00:00+08:00,suitability-facts-v1
SUIT-C120,demo-acts-1-3,C120,true,true,true,true,2026-09-12T09:00:00+08:00,suitability-facts-v1
